ionian per1 maj2 maj3 per4 per5 maj6 maj7
dorian per1 maj2 min3 per4 per5 maj6 min7
phrygian per1 min2 min3 per4 per5 min6 min7
lydian per1 maj2 maj3 aug4 per5 maj6 maj7
mixolydian per1 maj2 maj3 per4 per5 min6 maj7
aeolian per1 maj2 min3 per4 per5 min6 min7
locrian per1 min2 min3 per4 dim5 min6 min7
harmonicMinor per1 maj2 min3 per4 per5 min6 maj7
locrian#6 per1 min2 min3 per4 dim5 maj6 min7
ionian#5 per1 maj2 maj3 per4 aug5 maj6 maj7
dorian#4 per1 maj2 min3 aug4 per5 maj6 min7
phrygianDominant per1 min2 maj3 per4 per5 min6 min7
lydian#2 per1 maj2 maj3 aug4 per5 maj6 maj7
ultralocrian per1 min2 min3 dim4 dim5 min6 dim7
melodicMinor per1 maj2 min3 per4 per5 maj6 maj7
dorianb2 per1 min2 min3 per4 per5 maj6 min7
lydian#5 per1 maj2 maj3 aug4 aug5 maj6 maj7
lydianDominant per1 maj2 maj3 aug4 per5 maj6 min7
mixolydianb6 per1 maj2 maj3 per4 per5 min6 min7
semilocrian per1 maj2 min3 per4 dim5 min6 min7
superlocrian per1 min2 min3 dim4 dim5 min6 min7
